cross_section,longitudinal,depth,Temperature,Unit,
58,205,16,25.1,T6TTemp C,
0,210,16,25.4,T6TTemp C,
5,210,16,25.5,T6TTemp C,
10,210,16,25.5,T6TTemp C,
15,210,16,25.5,T6TTemp C,
20,210,16,25.4,T6TTemp C,
25,210,16,25.5,T6TTemp C,
30,210,16,25.4,T6TTemp C,
35,210,16,25.2,T6TTemp C,
40,210,16,25.2,T6TTemp C,
45,210,16,25.2,T6TTemp C,
50,210,16,25,T6TTemp C,
55,210,16,25,T6TTemp C,
58,210,16,25,T6TTemp C,
0,175,19.2,24.8,T7TTemp C,
5,175,19.2,24.8,T7TTemp C,
10,175,19.2,24.9,T7TTemp C,
15,175,19.2,24.9,T7TTemp C,
20,175,19.2,24.9,T7TTemp C,
25,175,19.2,24.8,T7TTemp C,
30,175,19.2,24.8,T7TTemp C,
35,175,19.2,24.7,T7TTemp C,
40,175,19.2,24.7,T7TTemp C,
45,175,19.2,24.7,T7TTemp C,
50,175,19.2,24.7,T7TTemp C,
55,175,19.2,24.7,T7TTemp C,
58,175,19.2,24.6,T7TTemp C,
0,180,19.2,24.8,T7TTemp C,
5,180,19.2,24.8,T7TTemp C,
10,180,19.2,24.9,T7TTemp C,
15,180,19.2,24.9,T7TTemp C,
20,180,19.2,24.9,T7TTemp C,
25,180,19.2,24.9,T7TTemp C,
30,180,19.2,25,T7TTemp C,
35,180,19.2,24.9,T7TTemp C,
40,180,19.2,25,T7TTemp C,
45,180,19.2,24.9,T7TTemp C,
50,180,19.2,24.9,T7TTemp C,
55,180,19.2,24.8,T7TTemp C,
58,180,19.2,24.7,T7TTemp C,
0,185,19.2,24.9,T7TTemp C,
5,185,19.2,24.9,T7TTemp C,
10,185,19.2,24.8,T7TTemp C,
15,185,19.2,24.9,T7TTemp C,
20,185,19.2,24.8,T7TTemp C,
25,185,19.2,24.7,T7TTemp C,
30,185,19.2,24.7,T7TTemp C,
35,185,19.2,24.7,T7TTemp C,
40,185,19.2,24.7,T7TTemp C,
45,185,19.2,24.7,T7TTemp C,
50,185,19.2,24.6,T7TTemp C,
55,185,19.2,24.5,T7TTemp C,
58,185,19.2,24.6,T7TTemp C,
0,190,19.2,24.6,T7TTemp C,
5,190,19.2,24.5,T7TTemp C,
10,190,19.2,24.5,T7TTemp C,
15,190,19.2,24.5,T7TTemp C,
20,190,19.2,24.5,T7TTemp C,
25,190,19.2,24.4,T7TTemp C,
30,190,19.2,24.4,T7TTemp C,
35,190,19.2,24.4,T7TTemp C,
40,190,19.2,24.4,T7TTemp C,
45,190,19.2,24.3,T7TTemp C,
50,190,19.2,24.2,T7TTemp C,
55,190,19.2,24.1,T7TTemp C,
58,190,19.2,24.3,T7TTemp C,
0,195,19.2,24.4,T7TTemp C,
5,195,19.2,24.4,T7TTemp C,
10,195,19.2,24.3,T7TTemp C,
15,195,19.2,24.3,T7TTemp C,
20,195,19.2,24.4,T7TTemp C,
25,195,19.2,24.4,T7TTemp C,
30,195,19.2,24.4,T7TTemp C,
