"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
25,5,6.4,NA,NA,NA,NA,NA
25,5,9.6,NA,NA,NA,NA,NA
25,5,12.8,NA,NA,NA,NA,NA
25,5,16,NA,NA,NA,NA,NA
25,5,19.2,NA,NA,NA,NA,NA
25,5,22.4,NA,NA,NA,NA,NA
25,5,25.6,NA,NA,NA,NA,NA
25,5,28.8,NA,NA,NA,NA,NA
30,5,0,NA,NA,NA,NA,NA
30,5,3.2,NA,NA,NA,NA,NA
30,5,6.4,NA,NA,NA,NA,NA
30,5,9.6,NA,NA,NA,NA,NA
30,5,12.8,NA,NA,NA,NA,NA
30,5,16,NA,NA,NA,NA,NA
30,5,19.2,NA,NA,NA,NA,NA
30,5,22.4,NA,NA,NA,NA,NA
30,5,25.6,NA,NA,NA,NA,NA
30,5,28.8,NA,NA,NA,NA,NA
35,5,0,NA,NA,NA,NA,NA
35,5,3.2,NA,NA,NA,NA,NA
35,5,6.4,NA,NA,NA,NA,NA
35,5,9.6,NA,NA,NA,NA,NA
35,5,12.8,NA,NA,NA,NA,NA
35,5,16,NA,NA,NA,NA,NA
35,5,19.2,NA,NA,NA,NA,NA
35,5,22.4,NA,NA,NA,NA,NA
35,5,25.6,NA,NA,NA,NA,NA
35,5,28.8,NA,NA,NA,NA,NA
40,5,0,NA,NA,NA,NA,NA
40,5,3.2,NA,NA,NA,NA,NA
40,5,6.4,NA,NA,NA,NA,NA
40,5,9.6,NA,NA,NA,NA,NA
40,5,12.8,NA,NA,NA,NA,NA
40,5,16,NA,NA,NA,NA,NA
40,5,19.2,NA,NA,NA,NA,NA
40,5,22.4,NA,NA,NA,NA,NA
40,5,25.6,NA,NA,NA,NA,NA
40,5,28.8,NA,NA,NA,NA,NA
45,5,0,NA,NA,NA,NA,NA
45,5,3.2,NA,NA,NA,NA,NA
45,5,6.4,NA,NA,NA,NA,NA
45,5,9.6,NA,NA,NA,NA,NA
45,5,12.8,NA,NA,NA,NA,NA
45,5,16,NA,NA,NA,NA,NA
45,5,19.2,NA,NA,NA,NA,NA
45,5,22.4,NA,NA,NA,NA,NA
45,5,25.6,NA,NA,NA,NA,NA
45,5,28.8,NA,NA,NA,NA,NA
50,5,0,NA,NA,NA,NA,NA
50,5,3.2,NA,NA,NA,NA,NA
